Code département;Département;Code circonscription;Circonscription;Numéro de panneau;Libellé abrégé de liste;Libellé de la liste;Code nuance de liste;Nuance de liste;Tête de liste;Ordre;Sexe;Nom sur le bulletin de vote;Prénom sur le bulletin de vote;Nationalité;Code personnalité;CC
31;Haute-Garonne;31557;Tournefeuille;2;Un autre avenir;Un autre avenir;LUC;Liste d'union au centre;OUI;1;M;SOULIÉ;Laurent;Française;;OUI
31;Haute-Garonne;31557;Tournefeuille;3;Tournefeuille au coeur;Tournefeuille au coeur;LUG;Liste d'union à gauche;OUI;1;M;PARRE;Frédéric;Française;;OUI
31;Haute-Garonne;31557;Tournefeuille;4;Liste citoyenne de Tournefeuille;Liste citoyenne de Tournefeuille;LDVG;Liste divers gauche;OUI;1;F;DAIGMORTE;Chloe;Française;;OUI
31;Haute-Garonne;31558;Toutens;1;Tout'Ensemble;Tout'Ensemble;;;OUI;1;M;CAMINADE;Christian;Française;;
31;Haute-Garonne;31559;Trébons-de-Luchon;1;TREBONS L'AVENIR ENSEMBLE;TREBONS L'AVENIR ENSEMBLE;;;OUI;1;M;CAUSSETTE;Guillaume;Française;;
31;Haute-Garonne;31560;Trébons-sur-la-Grasse;1;Trébons pour tous;Trébons pour tous;;;OUI;1;M;RAMONDA;Hervé;Française;;
31;Haute-Garonne;31561;L'Union;1;AIMER L'UNION;AIMER L'UNION;LDVG;Liste divers gauche;OUI;1;M;PÉRÉ;Marc;Française;;OUI
31;Haute-Garonne;31561;L'Union;2;Pour L'Union;Pour L'Union;LDVD;Liste divers droite;OUI;1;F;GENNARO-SAINT;Christine;Française;;OUI
31;Haute-Garonne;31562;Urau;1;URAU ENSEMBLE;URAU ENSEMBLE;;;OUI;1;F;BUC;Véronique;Française;;
31;Haute-Garonne;31563;Vacquiers;1;Agir pour Vacquiers;Agir pour Vacquiers;;;OUI;1;F;CLAVEL;Virginie;Française;;OUI
31;Haute-Garonne;31564;Valcabrère;1;DEMAIN VALCABRERE;DEMAIN VALCABRERE;;;OUI;1;F;LOUGE;Evelyne;Française;;
31;Haute-Garonne;31565;Valentine;1;VALENTINE NOTRE VILLAGE;VALENTINE NOTRE VILLAGE;;;OUI;1;F;NADALET;Marie;Française;;
31;Haute-Garonne;31566;Vallègue;1;Vallègue ensemble;Vallègue ensemble;;;OUI;1;M;ZANATTA;Rémy;Française;;
31;Haute-Garonne;31567;Vallesvilles;1;VIVRE ET AGIR ENSEMBLE A VALLESVILLES;VIVRE ET AGIR ENSEMBLE A VALLESVILLES;;;OUI;1;M;IZARD;Christian;Française;;
31;Haute-Garonne;31568;Varennes;1;Bien vivre aux Varennes;Bien vivre aux Varennes;;;OUI;1;F;GOUX;Roselyne;Française;;
31;Haute-Garonne;31568;Varennes;2;Faisons vivre notre village;Faisons vivre notre village;;;OUI;1;F;MERICQ;Elsa;Française;;
31;Haute-Garonne;31569;Vaudreuille;1;Vaudreuille un village pour tous;Vaudreuille un village pour tous;;;OUI;1;M;LAGOUTTE;Jean;Française;;
31;Haute-Garonne;31569;Vaudreuille;2;Agir ensemble pour Vaudreuille;Agir ensemble pour Vaudreuille;;;OUI;1;M;GRATTON;Fabrice;Française;;
31;Haute-Garonne;31570;Vaux;1;Le Vaux avec vous et pour vous;Le Vaux avec vous et pour vous;;;OUI;1;M;AUBOURG;Patrick;Française;;
31;Haute-Garonne;31570;Vaux;2;VAUX : gérer notre bien commun;VAUX : gérer notre bien commun;;;OUI;1;M;MORIN;Claude;Française;;
31;Haute-Garonne;31570;Vaux;3;Osons demain!;Osons demain!;;;OUI;1;M;BONHOMME-PASQUA;Philippe;Française;;
31;Haute-Garonne;31571;Vendine;1;Vendine ensemble;Vendine ensemble;;;OUI;1;M;SERRE;Benoît;Française;;
31;Haute-Garonne;31572;Venerque;1;Venerque cap sur l'avenir;Venerque cap sur l'avenir;;;OUI;1;M;BEZIAT;Denis;Française;;OUI
31;Haute-Garonne;31572;Venerque;2;VENERQUE AUTREMENT;VENERQUE AUTREMENT;;;OUI;1;F;BARRE;Fabienne;Française;;OUI
31;Haute-Garonne;31573;Verfeil;1;VERFEIL POUR TOUS;VERFEIL POUR TOUS;LDIV;Liste Divers;OUI;1;M;VITORINO;Daniel;Française;;OUI
31;Haute-Garonne;31573;Verfeil;2;Verfeil dynamique et responsable;Verfeil dynamique et responsable;LDVG;Liste divers gauche;OUI;1;M;PLICQUE;Patrick;Française;;OUI
31;Haute-Garonne;31573;Verfeil;3;Un nouvel élan pour Verfeil;Un nouvel élan pour Verfeil;LDIV;Liste Divers;OUI;1;M;LAPASSE;Jean-Christophe;Française;;OUI
31;Haute-Garonne;31574;Vernet;1;agissons ensemble pour le vernet;agissons ensemble pour le vernet;;;OUI;1;F;ROUGANIOU;Marie;Française;;OUI
31;Haute-Garonne;31574;Vernet;2;LE VERNET, UNIS POUR L'AVENIR;LE VERNET, UNIS POUR L'AVENIR;;;OUI;1;M;MARCHAND;René;Française;;OUI
31;Haute-Garonne;31575;Vieille-Toulouse;1;Fidèles à Vieille-Toulouse;Fidèles à Vieille-Toulouse;;;OUI;1;M;ROBERT;Gérard;Française;;OUI
31;Haute-Garonne;31575;Vieille-Toulouse;2;Pour Vieille-Toulouse avec vous;Pour Vieille-Toulouse avec vous;;;OUI;1;F;BOCCACINO;Marianne;Française;;OUI
31;Haute-Garonne;31576;Vieillevigne;1;BIEN VIVRE A VIEILLEVIGNE;BIEN VIVRE A VIEILLEVIGNE;;;OUI;1;F;DUCHER SOULOUMIAC;Nathalie;Française;;
31;Haute-Garonne;31577;Vignaux;1;Défence des intêrets communaux;Défence des intêrets communaux;;;OUI;1;M;LECONTE;Roland;Française;;
31;Haute-Garonne;31578;Vigoulet-Auzil;1;Avenir et environnement;Avenir et environnement;;;OUI;1;M;SEGERIC;Jacques;Française;;OUI
31;Haute-Garonne;31579;Villariès;1;Ensemble pour Villariès;Ensemble pour Villariès;;;OUI;1;M;ROUMAGNAC;Léandre;Française;;
31;Haute-Garonne;31580;Villate;1;AGIR ENSEMBLE POUR VILLATE;AGIR ENSEMBLE POUR VILLATE;;;OUI;1;M;GARAUD;Jean-Claude;Française;;OUI
31;Haute-Garonne;31580;Villate;2;ICI CHACUN COMPTE;ICI CHACUN COMPTE;;;OUI;1;M;WEISS;Alexandre;Française;;OUI
31;Haute-Garonne;31581;Villaudric;1;Une énergie pour Villaudric;Une énergie pour Villaudric;;;OUI;1;M;PROVENDIER;Philippe;Française;;OUI
31;Haute-Garonne;31581;Villaudric;2;Villaudric au Coeur;Villaudric au Coeur;;;OUI;1;M;LE CHEVILLER;Nicolas;Française;;OUI
31;Haute-Garonne;31582;Villefranche-de-Lauragais;1;Ensemble pour Villefranche de Lauragais;Ensemble pour Villefranche de Lauragais;LDVG;Liste divers gauche;OUI;1;F;GRAFEUILLE ROUDET;Valérie;Française;;OUI
31;Haute-Garonne;31583;Villematier;1;Agir pour Villematier;Agir pour Villematier;;;OUI;1;M;JILIBERT;Jean-Michel;Française;;OUI
31;Haute-Garonne;31584;Villemur-sur-Tarn;1;ENSEMBLE POUR VILLEMUR;ENSEMBLE POUR VILLEMUR;LDIV;Liste Divers;OUI;1;M;MOULET;Serge;Française;;OUI
31;Haute-Garonne;31584;Villemur-sur-Tarn;2;Villemur 2026-2033;Villemur 2026-2033;LDVD;Liste divers droite;OUI;1;M;DUMOULIN;Jean-Marc;Française;;OUI
31;Haute-Garonne;31584;Villemur-sur-Tarn;3;Agir pour Villemur;Agir pour Villemur;LDIV;Liste Divers;OUI;1;M;DE BENEDICTIS;Olivier;Française;;OUI
31;Haute-Garonne;31585;Villeneuve-de-Rivière;1;ENGAGES POUR VILLENEUVE;ENGAGES POUR VILLENEUVE;;;OUI;1;F;SUBRA;Emilie;Française;;OUI
31;Haute-Garonne;31586;Villeneuve-Lécussan;1;UN NOUVEL ELAN POUR VILLENEUVE LECUSSAN;UN NOUVEL ELAN POUR VILLENEUVE LECUSSAN;;;OUI;1;F;PUJADE;Valérie;Française;;
31;Haute-Garonne;31586;Villeneuve-Lécussan;2;S'ENGAGER POUR NOTRE VILLAGE;S'ENGAGER POUR NOTRE VILLAGE;;;OUI;1;M;BATMALE;Lionel;Française;;
31;Haute-Garonne;31587;Villeneuve-lès-Bouloc;1;Agir Ensemble pour Villeneuve;Agir Ensemble pour Villeneuve;;;OUI;1;M;PATTYN;Thaddée;Française;;OUI
31;Haute-Garonne;31587;Villeneuve-lès-Bouloc;2;ENTENTE ET INTERÊTS COMMUNAUX;ENTENTE ET INTERÊTS COMMUNAUX;;;OUI;1;F;SAVY;Sylvie;Française;;OUI
31;Haute-Garonne;31588;Villeneuve-Tolosane;1;Ensemble faisons Villeneuve-Tolosane;Ensemble faisons Villeneuve-Tolosane;LSOC;Liste du Parti socialiste;OUI;1;M;VAILLANT;Romain;Française;;OUI
31;Haute-Garonne;31589;Villenouvelle;1;Pour une commune durable dynamique et Solidaire;Pour une commune durable dynamique et Solidaire;;;OUI;1;M;PORTIER;Thomas;Française;;OUI
31;Haute-Garonne;31590;Binos;1;BINOS ENSEMBLE;BINOS ENSEMBLE;;;OUI;1;M;GUAUS;Francis;Française;;
31;Haute-Garonne;31591;Escoulis;1;ESCOULIS ENSEMBLE;ESCOULIS ENSEMBLE;;;OUI;1;M;SOUMET;Jacques;Française;;
31;Haute-Garonne;31592;Larra;1;Larra, maintenant, pour demain;Larra, maintenant, pour demain;;;OUI;1;M;MOIGN;Jean-Louis;Française;;OUI
31;Haute-Garonne;31593;Cazac;1;VIVRE A CAZAC;VIVRE A CAZAC;;;OUI;1;F;PRIAULT;Françoise;Française;;
